id,label,Field_34
0,1,20180107
1,0,
2,0,20190102
3,0,
4,1,
5,0,
6,0,20190902
7,1,20190804
8,0,20170102
9,0,
10,1,
11,1,20190103
12,1,20190103
13,0,20190302
14,0,
15,0,
16,0,
17,1,
18,0,
19,0,
20,0,
21,0,
22,1,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,20190111
30,0,20150913
31,0,20190104
32,0,20190206
33,1,
34,0,
35,0,20180908
36,0,
37,0,
38,1,20170401
39,1,
40,1,20190603
41,0,
42,0,
43,1,20190111
44,0,
45,0,
46,1,
47,1,
48,0,
49,0,20190404
50,1,20161003
51,0,20190203
52,0,20190806
53,1,20181210
54,1,
55,1,20191207
56,0,20191104
57,0,
58,1,20190513
59,0,20171256
60,0,
61,0,
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,20190503
68,0,20181109
69,0,20180804
70,0,20190806
71,1,
72,1,
73,0,
74,1,
75,1,
76,0,20190605
77,0,20181005
78,0,20190804
79,0,20190804
80,1,20190309
81,0,20170702
82,1,20190202
83,1,20161101
84,0,20161101
85,0,
86,0,
87,0,20190302
88,1,20190642
89,0,
90,0,20180202
91,0,
92,0,20191203
93,1,20130802
94,0,20190102
95,1,20190854
96,0,
97,0,
98,0,20150402
99,0,20150402
100,0,20150402
101,0,20190101
102,0,20180802
103,0,20180402
104,0,20180213
105,0,
106,1,20190303
107,0,20191207
108,1,
109,0,20180104
110,1,
111,1,
112,0,20190811
113,0,20110101
114,0,
115,0,
116,0,20120601
117,0,20180401
118,0,20181201
119,0,20190411
120,0,20191002
121,0,20180112
122,0,20180109
123,0,20191209
124,0,
125,0,
126,1,
127,0,20190407
128,0,20190407
129,0,
130,1,20190108
131,0,20180908
132,1,
133,0,20190612
134,0,20191022
135,1,20181101
136,0,20190702
137,1,20190207
138,0,
139,0,20190930
140,0,20190119
141,0,20191111
142,0,
143,0,
144,0,20200104
145,1,
146,0,20190601
147,1,20191203
148,0,
149,1,
150,0,20200102
151,0,20171205
152,1,
153,1,
154,1,20190504
155,1,
156,0,20151104
157,0,
158,0,
159,0,20190707
160,0,20190407
161,0,20191109
162,1,
163,0,20180703
164,0,20190908
165,0,
166,1,20190101
167,1,
168,0,20190509
169,1,20190615
170,0,20190922
171,0,
172,1,20190707
173,0,20190904
174,0,20200102
175,0,20180204
176,0,20180310
177,0,20180108
178,0,20191103
179,0,
180,0,20190311
181,0,
182,0,
183,0,20190722
184,0,
185,0,20180115
186,1,
187,0,20180108
188,0,
189,0,
190,0,20180706
191,1,20170606
192,0,
193,0,20180907
194,0,
195,0,20190902
196,0,20190404
197,1,
198,0,
199,0,
200,0,
201,0,20190902
202,1,
203,0,
204,1,
205,0,
206,0,20190509
207,0,
208,0,20181107
209,0,
210,1,
211,0,20190311
212,0,20180604
213,1,20190825
214,0,20190612
215,0,
216,0,20171004
