id,label,Field_21
0,1,4.5
1,0,
2,0,4.5
3,0,
4,1,
5,0,
6,0,4.5
7,1,4.5
8,0,4.5
9,0,
10,1,
11,1,4.5
12,1,4.5
13,0,4.5
14,0,
15,0,
16,0,
17,1,
18,0,
19,0,
20,0,
21,0,
22,1,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,4.5
30,0,4.5
31,0,4.5
32,0,4.5
33,1,
34,0,
35,0,4.5
36,0,
37,0,
38,1,4.5
39,1,
40,1,4.5
41,0,
42,0,
43,1,4.5
44,0,
45,0,
46,1,
47,1,
48,0,
49,0,4.5
50,1,4.5
51,0,4.5
52,0,4.5
53,1,4.5
54,1,
55,1,4.5
56,0,4.5
57,0,
58,1,4.5
59,0,4.5
60,0,
61,0,
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,4.5
68,0,4.5
69,0,4.5
70,0,4.5
71,1,
72,1,
73,0,
74,1,
75,1,
76,0,4.5
77,0,4.5
78,0,4.5
79,0,4.5
80,1,4.5
81,0,4.5
82,1,4.5
83,1,4.5
84,0,4.5
85,0,
86,0,
87,0,4.5
88,1,4.5
89,0,
90,0,4.5
91,0,
92,0,4.5
93,1,0.0
94,0,4.5
95,1,4.5
96,0,
97,0,
98,0,4.5
99,0,4.5
100,0,4.5
101,0,4.5
102,0,4.5
103,0,4.5
104,0,4.5
105,0,
106,1,4.5
107,0,4.5
108,1,
109,0,4.5
110,1,
111,1,
112,0,4.5
113,0,4.5
114,0,
115,0,
116,0,4.5
117,0,4.5
118,0,4.5
119,0,4.5
120,0,4.5
121,0,4.5
122,0,4.5
123,0,4.5
124,0,
125,0,
126,1,
127,0,4.5
128,0,4.5
129,0,
130,1,4.5
131,0,4.5
132,1,
133,0,4.5
134,0,4.5
135,1,4.5
136,0,4.5
137,1,4.5
138,0,
139,0,4.5
140,0,4.5
141,0,4.5
142,0,
143,0,
144,0,4.5
145,1,
146,0,4.5
147,1,4.5
148,0,
149,1,
150,0,4.5
151,0,4.5
152,1,
153,1,
154,1,4.5
155,1,
156,0,4.5
157,0,
158,0,
159,0,4.5
160,0,4.5
161,0,4.5
162,1,
163,0,4.5
164,0,4.5
165,0,
166,1,4.5
167,1,
168,0,4.5
169,1,4.5
170,0,4.5
171,0,
172,1,4.5
173,0,4.5
174,0,4.5
175,0,4.5
176,0,4.5
177,0,4.5
178,0,4.5
179,0,
180,0,4.5
181,0,
182,0,
183,0,4.5
184,0,
185,0,4.5
186,1,
187,0,4.5
188,0,
189,0,
190,0,4.5
191,1,4.5
192,0,
193,0,4.5
194,0,
195,0,4.5
196,0,4.5
197,1,
198,0,
199,0,
200,0,
201,0,4.5
202,1,
203,0,
204,1,
205,0,
206,0,4.5
207,0,
208,0,4.5
209,0,
210,1,
211,0,4.5
212,0,4.5
213,1,4.5
214,0,4.5
215,0,
216,0,4.5
217,0,4.5
218,1,4.5
219,1,
220,1,4.5
221,1,4.5
222,1,
223,1,4.5
224,0,
225,1,
226,1,
227,0,
228,1,4.5
229,1,4.5
230,0,4.5
231,1,
232,0,4.5
233,0,4.5
234,0,
235,0,
236,0,
237,0,4.5
238,0,4.5
239,1,4.5
240,0,
241,0,
242,0,4.5
243,1,4.5
244,0,4.5
245,0,4.5
246,1,
247,0,4.5
248,0,4.5
249,0,4.5
250,1,4.5
251,0,4.5
252,0,
253,0,
254,0,4.5
255,0,
256,0,4.5
257,0,4.5
258,1,4.5
259,0,
260,0,4.5
261,1,
262,0,4.5
263,0,4.5
264,0,
265,0,4.5
266,0,
267,1,
268,1,4.5
269,1,4.5
270,0,
271,0,4.5
272,0,
273,0,
274,0,4.5
275,0,4.5
276,0,4.5
277,0,4.5
278,1,4.5
279,0,4.5
280,1,4.5
281,0,
282,0,0.0
283,0,0.0
284,0,
285,0,
286,0,4.5
287,0,4.5
288,0,4.5
289,0,4.5
290,0,4.5
291,0,4.5
292,1,4.5
293,1,
294,1,4.5
295,0,
296,0,
297,0,
298,1,4.5
299,1,
300,0,
301,1,4.5
302,0,
303,0,4.5
304,0,4.5
305,0,4.5
306,1,
307,1,
308,0,4.5
309,1,4.5
310,0,
311,0,4.5
312,0,
313,1,4.5
314,1,4.5
315,0,4.5
316,0,4.5
317,0,4.5
318,1,
319,1,4.5
320,0,4.5
321,1,
322,0,
323,1,
324,0,
325,1,
326,0,4.5
327,0,4.5
328,1,
329,0,4.5
330,0,4.5
331,1,
332,1,
333,1,4.5
334,1,
335,0,
336,1,
337,0,
338,0,
339,0,
340,1,4.5
341,0,4.5
342,1,
343,1,
344,1,
345,0,
346,0,4.5
347,0,4.5
348,0,4.5
349,0,
350,0,
351,1,4.5
352,0,4.5
353,1,
354,1,4.5
355,1,4.5
356,0,
357,0,4.5
358,0,4.5
359,0,4.5
360,0,4.5
361,1,4.5
362,1,4.5
363,0,4.5
364,0,
365,0,
366,0,4.5
367,0,4.5
368,1,
369,0,4.5
370,0,
371,0,4.5
372,0,4.5
373,1,4.5
374,0,
375,1,4.5
376,0,
377,0,4.5
378,0,
379,1,
380,0,4.5
381,1,4.5
382,0,4.5
383,0,
384,0,4.5
385,1,
386,0,4.5
387,0,4.5
388,0,
389,0,
390,1,4.5
391,1,
392,0,
393,0,
394,1,
395,1,
396,0,4.5
397,0,4.5
398,0,4.5
399,0,
400,0,
401,0,
402,0,
403,0,
404,0,
405,0,4.5
406,0,
407,0,4.5
408,0,4.5
409,0,
410,0,4.5
411,1,4.5
412,1,4.5
413,0,4.5
414,0,
415,0,
416,0,4.5
417,0,
418,0,4.5
419,0,4.5
420,0,4.5
421,1,
422,1,4.5
423,0,4.5
424,0,
425,1,
426,1,4.5
427,1,4.5
428,1,4.5
429,0,4.5
430,1,4.5
431,1,
432,1,4.5
433,0,6.0
434,0,4.5
435,1,4.5
436,1,4.5
437,0,
438,0,
439,0,4.5
440,1,
441,1,
442,0,
443,0,
444,1,4.5
445,1,
446,1,4.5
447,1,4.5
448,0,4.5
449,1,4.5
450,1,4.5
451,0,4.5
452,1,4.5
453,1,4.5
454,0,4.5
455,1,4.5
456,0,4.5
457,0,4.5
458,0,4.5
459,1,4.5
460,0,
461,0,4.5
462,0,4.5
463,0,4.5
464,1,4.5
465,0,4.5
466,0,
467,0,4.5
468,1,4.5
469,0,
470,0,
471,0,4.5
472,0,4.5
473,0,4.5
474,0,4.5
475,0,
476,0,
477,1,
478,1,4.5
479,0,
480,0,4.5
481,0,4.5
482,0,0.0
483,0,4.5
484,0,4.5
485,1,4.5
486,1,
487,0,4.5
488,0,
489,0,4.5
490,0,
491,1,4.5
492,0,4.5
493,0,
494,0,4.5
495,0,4.5
496,0,
497,0,4.5
498,1,
499,1,4.5
500,0,4.5
501,0,4.5
502,1,4.5
503,0,4.5
504,0,
505,1,
506,1,4.5
507,0,4.5
508,1,4.5
509,0,
510,0,4.5
511,1,4.5
512,0,4.5
513,1,
514,1,
515,0,
516,0,4.5
517,0,4.5
518,1,
519,1,4.5
520,1,4.5
521,0,4.5
522,1,4.5
523,1,4.5
524,1,4.5
525,1,
526,1,4.5
527,1,
528,1,
529,0,4.5
530,0,
531,1,4.5
532,0,4.5
533,0,
534,1,4.5
535,1,4.5
536,1,
537,1,
538,0,4.5
539,0,
540,0,4.5
541,0,4.5
542,1,4.5
543,0,
544,0,4.5
545,0,4.5
546,0,4.5
547,0,4.5
548,0,4.5
549,0,4.5
550,0,4.5
551,0,4.5
552,1,4.5
553,0,4.5
554,0,4.5
555,0,
556,0,4.5
557,0,4.5
558,1,4.5
559,1,
560,1,4.5
561,0,
562,1,4.5
563,0,4.5
564,1,
565,0,4.5
566,0,4.5
567,0,4.5
568,0,
569,0,4.5
570,1,4.5
571,0,
572,1,4.5
573,0,4.5
574,0,4.5
575,0,
576,1,
577,0,4.5
578,0,4.5
579,0,4.5
580,0,4.5
581,0,4.5
582,1,4.5
583,0,4.5
584,0,4.5
585,0,
586,1,
587,0,4.5
588,0,4.5
589,0,4.5
590,0,4.5
591,1,4.5
592,1,4.5
593,1,4.5
594,0,4.5
595,0,4.5
596,0,4.5
597,0,
598,0,4.5
599,0,4.5
600,1,4.5
601,1,
602,0,4.5
603,0,4.5
604,1,4.5
605,0,4.5
606,0,
607,1,4.5
608,0,4.5
609,1,4.5
610,0,4.5
611,0,4.5
612,1,4.5
613,0,4.5
614,0,
615,1,4.5
616,1,4.5
617,0,4.5
618,1,4.5
619,0,4.5
620,1,4.5
621,1,4.5
622,0,4.5
623,1,4.5
624,0,4.5
625,1,4.5
626,0,4.5
627,0,
628,0,4.5
629,0,4.5
630,1,4.5
631,0,4.5
632,0,4.5
633,0,
634,0,6.0
635,0,4.5
636,0,4.5
637,0,
638,1,4.5
639,1,4.5
640,0,4.5
641,1,
642,1,4.5
643,0,4.5
644,1,4.5
645,0,4.5
646,1,4.5
647,0,4.5
648,1,4.5
649,1,4.5
650,0,4.5
651,1,
652,1,
653,0,4.5
654,0,4.5
655,0,4.5
656,0,4.5
657,1,4.5
658,0,4.5
659,0,4.5
660,0,
661,0,4.5
662,1,4.5
663,0,
664,0,4.5
665,1,
666,0,4.5
667,0,4.5
668,0,4.5
669,1,4.5
670,0,
671,0,4.5
672,0,
673,0,4.5
674,0,4.5
675,1,6.0
676,1,4.5
677,0,4.5
678,0,4.5
679,0,
680,0,
681,0,4.5
682,1,4.5
683,0,4.5
684,1,
685,1,
686,0,4.5
687,0,
688,0,4.5
689,0,4.5
690,0,4.5
691,1,4.5
692,0,4.5
693,0,4.5
694,0,
695,0,
696,1,
697,1,4.5
698,1,4.5
699,0,4.5
700,0,4.5
701,0,4.5
702,0,
703,0,
704,0,4.5
705,0,4.5
706,0,
707,1,4.5
708,0,
709,0,4.5
710,0,
711,1,
712,1,4.5
713,0,4.5
714,0,4.5
715,0,4.5
716,0,4.5
717,1,4.5
718,1,
719,1,4.5
720,0,4.5
721,1,
722,1,4.5
723,0,4.5
724,0,4.5
725,1,4.5
