id,label,Field_51
0,1,1.0
1,0,
2,0,1.0
3,0,
4,1,
5,0,
6,0,1.0
7,1,1.0
8,0,1.0
9,0,
10,1,
11,1,1.0
12,1,1.0
13,0,1.0
14,0,
15,0,
16,0,
17,1,
18,0,
19,0,
20,0,
21,0,
22,1,
23,0,
24,0,
25,0,
26,0,
27,0,
28,0,
29,0,1.0
30,0,1.0
31,0,1.0
32,0,1.0
33,1,
34,0,
35,0,1.0
36,0,
37,0,
38,1,1.0
39,1,
40,1,1.0
41,0,
42,0,
43,1,1.0
44,0,
45,0,
46,1,
47,1,
48,0,
49,0,1.0
50,1,1.0
51,0,1.0
52,0,1.0
53,1,1.0
54,1,
55,1,1.0
56,0,1.0
57,0,
58,1,1.0
59,0,1.0
60,0,
61,0,
62,0,
63,0,
64,0,
65,0,
66,0,
67,0,1.0
68,0,1.0
69,0,1.0
70,0,1.0
71,1,
72,1,
73,0,
74,1,
75,1,
76,0,1.0
77,0,1.0
78,0,1.0
79,0,1.0
80,1,1.0
81,0,1.0
82,1,1.0
83,1,1.0
84,0,1.0
85,0,
86,0,
87,0,1.0
88,1,1.0
89,0,
90,0,1.0
91,0,
92,0,1.0
93,1,1.0
94,0,1.0
95,1,1.0
96,0,
97,0,
98,0,1.0
99,0,1.0
100,0,1.0
101,0,1.0
102,0,1.0
103,0,1.0
104,0,1.0
105,0,
106,1,1.0
107,0,1.0
108,1,
109,0,1.0
110,1,
111,1,
112,0,1.0
113,0,1.0
114,0,
115,0,
116,0,1.0
117,0,1.0
118,0,1.0
119,0,1.0
120,0,1.0
121,0,1.0
122,0,1.0
123,0,1.0
124,0,
125,0,
126,1,
127,0,1.0
128,0,1.0
129,0,
130,1,1.0
131,0,1.0
132,1,
133,0,1.0
134,0,1.0
135,1,1.0
136,0,1.0
137,1,1.0
138,0,
139,0,1.0
140,0,1.0
141,0,1.0
142,0,
143,0,
144,0,1.0
145,1,
146,0,1.0
147,1,1.0
148,0,
149,1,
150,0,1.0
151,0,1.0
152,1,
153,1,
154,1,1.0
155,1,
156,0,1.0
157,0,
158,0,
159,0,1.0
160,0,1.0
161,0,1.0
162,1,
163,0,1.0
164,0,1.0
165,0,
166,1,1.0
167,1,
168,0,1.0
169,1,1.0
170,0,1.0
171,0,
172,1,1.0
173,0,1.0
174,0,1.0
175,0,1.0
176,0,1.0
177,0,1.0
178,0,1.0
179,0,
180,0,1.0
181,0,
182,0,
183,0,1.0
184,0,
185,0,1.0
186,1,
187,0,1.0
188,0,
189,0,
190,0,1.0
191,1,1.0
192,0,
193,0,1.0
194,0,
195,0,1.0
196,0,1.0
197,1,
198,0,
199,0,
200,0,
201,0,1.0
202,1,
203,0,
204,1,
205,0,
206,0,1.0
207,0,
208,0,1.0
209,0,
210,1,
211,0,1.0
212,0,1.0
213,1,1.0
214,0,1.0
215,0,
216,0,1.0
217,0,1.0
218,1,1.0
219,1,
220,1,1.0
221,1,1.0
222,1,
223,1,1.0
224,0,
225,1,
226,1,
227,0,
228,1,1.0
229,1,1.0
230,0,1.0
231,1,
232,0,1.0
233,0,1.0
234,0,
235,0,
236,0,
237,0,1.0
238,0,1.0
239,1,1.0
240,0,
241,0,
242,0,1.0
243,1,1.0
244,0,1.0
245,0,1.0
246,1,
247,0,1.0
248,0,1.0
249,0,1.0
250,1,1.0
251,0,1.0
252,0,
253,0,
254,0,1.0
255,0,
256,0,1.0
257,0,1.0
258,1,1.0
259,0,
260,0,1.0
261,1,
262,0,1.0
263,0,1.0
264,0,
265,0,1.0
266,0,
267,1,
268,1,1.0
269,1,1.0
270,0,
271,0,1.0
272,0,
273,0,
274,0,1.0
275,0,1.0
276,0,1.0
277,0,1.0
278,1,1.0
279,0,1.0
280,1,1.0
281,0,
282,0,1.0
283,0,1.0
284,0,
285,0,
286,0,1.0
287,0,1.0
288,0,1.0
289,0,1.0
290,0,1.0
291,0,1.0
292,1,1.0
293,1,
294,1,1.0
295,0,
